mall_description,mall_lat,mall_lon,mall_id,mall_visitors,mall_rental_space
Mall Plaza Alameda,-33.45277,-70.682171,16.0,26478,60000
Mall Plaza Oeste,-33.51744,-70.71743000000002,19.0,148716,144000
Mall Florida Center,-33.510524,-70.608436,12.0,145436,110000
Mall Plaza Tobalaba,-33.569528000000005,-70.557508,20.0,2070,54200
Mall Plaza Vespucio,-33.516993,-70.597368,21.0,96523,116000
Alto las Condes,-33.391040000000004,-70.54533,0.0,122061,115000
Apumanque,-33.409904,-70.56745500000002,1.0,36154,20100
Portal La Dehesa,-33.352284999999995,-70.520889,6.0,29268,79000
Mall Plaza Egaña,-33.45243,-70.569532,17.0,58239,80000
Mall Plaza Norte,-33.364834,-70.678337,18.0,127768,74900
Mall Vivo Panorámico,-33.4233,-70.6099,25.0,69646,7000
Mall Parque Arauco,-33.402255600000004,-70.5778,29.0,170494,111000
Espacio Urbano Puente Alto,-33.59989,-70.5749,9.0,77153,25500
Mall Costanera Center,-33.417494,-70.606156,11.0,163234,173000
Mall Arauco Maipú,-33.480292999999996,-70.751692,2.0,94788,54000
Mall Paseo Estación,-33.451743,-70.678075,13.0,59056,46700
