,comuna,LEI,II,EI,HDI,HDI_2013
0,13101,0.7916721681102462,0.8731369138681019,0.9240986666666665,0.8612226073018258,0.8612226073018258
1,13102,0.7828172274855182,0.8003426019267673,0.7134986666666666,0.7646158122833859,0.7646158122833859
2,13103,0.7524468783774698,0.7503815144342327,0.6579608666666666,0.718874075103435,0.718874075103435
3,13104,0.7848716556262343,0.7606967256476325,0.7054259999999999,0.7495846367499207,0.7495846367499207
4,13105,0.777235991973991,0.780019166650946,0.6738759999999999,0.7420152857579779,0.7420152857579779
5,13106,0.7908096862834122,0.7843783492402626,0.7291446666666667,0.7676039636200007,0.7676039636200007
6,13107,0.7263303616728273,0.7756310431980501,0.6417068666666667,0.7123752732431766,0.7123752732431766
7,13108,0.8215508290049144,0.7511049022964621,0.7224926666666666,0.7639347685882532,0.7639347685882532
8,13109,0.8565699174966216,0.8357402699173558,0.8602353333333334,0.8507798813752726,0.8507798813752726
9,13110,0.7730943183285796,0.824255157411454,0.7911553333333334,0.7958882090835991,0.7958882090835991
10,13111,0.7635817892649339,0.7517212743601791,0.6688366666666667,0.7267933825378378,0.7267933825378378
11,13112,0.6737940167762572,0.7585853283088958,0.6425743333333334,0.6899513715041251,0.6899513715041251
12,13113,0.8906467484939784,0.9489075586585645,0.9682226666666666,0.9353372742466559,0.9353372742466559
13,13114,0.9097742586749534,0.9710558490277441,0.9880140000000001,0.9556825808906048,0.9556825808906048
14,13115,0.8311149444987538,0.9216213654980653,0.813262,0.8540463425731615,0.8540463425731615
15,13116,0.7594065168258313,0.7845034889370971,0.6900426666666667,0.7435585582494739,0.7435585582494739
16,13117,0.7877073652927261,0.7755187073293308,0.6979893333333334,0.7526656800373289,0.7526656800373289
17,13118,0.8313343920212529,0.8422425517639278,0.8413459999999999,0.8382931747620189,0.8382931747620189
18,13119,0.768125510704614,0.823405953480187,0.8087700000000001,0.7997553833363021,0.7997553833363021
19,13120,0.9003631947562933,0.9477368475070045,0.9933613333333333,0.9463917392288125,0.9463917392288125
20,13121,0.8155968912382215,0.7675652735506512,0.7337833333333333,0.7715895792373196,0.7715895792373196
21,13122,0.7498674823400852,0.790376339854907,0.6608190666666667,0.7316451108302772,0.7316451108302772
22,13123,0.9173161571003533,0.9485456966658834,1.0440386666666666,0.9684963211408518,0.9684963211408518
23,13124,0.7083440001847195,0.7645654599558765,0.7238526666666666,0.7318742934679029,0.7318742934679029
24,13125,0.6671438468950093,0.8387343359231381,0.763492,0.75315250079965,0.75315250079965
25,13126,0.8139824321776606,0.7947605043034851,0.686444,0.7629315790312251,0.7629315790312251
26,13127,0.7757658357945353,0.7423084494044507,0.6723046666666667,0.7288316051799673,0.7288316051799673
27,13128,0.725182521472911,0.7829498671955004,0.6748286666666666,0.7263151016934837,0.7263151016934837
28,13129,0.8142186854241649,0.8150182974636738,0.7470893333333333,0.7914565690083784,0.7914565690083784
29,13130,0.8555778053265565,0.8516909968280322,0.8160753333333334,0.8409251623090529,0.8409251623090529
30,13131,0.7671044849841936,0.7720125282883809,0.6053345333333333,0.7103814113403732,0.7103814113403732
31,13132,0.9148312513697129,0.9968986001558386,1.0787786666666668,0.9945839462335732,0.9945839462335732
32,13201,0.7259250930233221,0.7739226100597637,0.7214153333333333,0.7400454080851178,0.7400454080851178
33,13202,0.7499748617395675,0.8475578977616286,0.735982,0.7762969290892037,0.7762969290892037
34,13203,0.7895775670296219,0.8281981083559978,0.6544946,0.7536074048699021,0.7536074048699021
35,13301,0.6673783709948091,0.7873502197691836,0.6252797999999999,0.6900358494774959,0.6900358494774959
36,13302,0.6834531388345558,0.7872691241956038,0.6884806666666667,0.7181933519866424,0.7181933519866424
37,13303,0.8163362410785092,0.7758955048150205,0.6290026666666666,0.7358258935292312,0.7358258935292312
38,13401,0.7434627886624635,0.7628215580175212,0.6763973333333334,0.726599061269449,0.726599061269449
39,13402,0.7425699700756907,0.82233954003551,0.7373013333333333,0.7664396670692515,0.7664396670692515
40,13403,0.8011088011088011,0.7602278432528663,0.6014655333333334,0.7155096334183296,0.7155096334183296
41,13404,0.7389694793763368,0.7762183130346149,0.6550952666666666,0.721614233687641,0.721614233687641
42,13501,0.7875017728028841,0.7392008235297137,0.6423153333333335,0.7204229947307241,0.7204229947307241
43,13502,0.8769230769230769,0.7564699185777097,0.6173453999999999,0.7426096503294339,0.7426096503294339
44,13503,0.8119133967250406,0.7661927236080921,0.6470247333333334,0.7383398961115524,0.7383398961115524
45,13504,0.8098461538461539,0.7563241553930613,0.6178077999999999,0.7233049458019268,0.7233049458019268
46,13505,0.8191066997518609,0.6902424501984646,0.5560894,0.6799793972477165,0.6799793972477165
47,13601,0.7949683877766069,0.8025224121611881,0.6868453333333334,0.7595483880292092,0.7595483880292092
48,13602,0.7407928738419238,0.7664587049903858,0.6798866666666666,0.7281276079113428,0.7281276079113428
49,13603,0.7845250639771187,0.8086233789363829,0.736952,0.7761235881613928,0.7761235881613928
50,13604,0.7647303942509421,0.738679808718814,0.6591959333333333,0.7194376735848242,0.7194376735848242
51,13605,0.7857316253951528,0.8019153053548944,0.698606,0.7606971712391886,0.7606971712391886
